&c. &c. [...] w Skrzynnie roku 1642. dnia 3. kwietnia   |Łabęc załośnie śpiewaiący nad grobem Wielmożnego Pana|44563
- skierowany do króla i Sejmowych Stanów]   |13.IV.1790-bd.przeds : [Memoriał Hollendrów z dóbr Świniary w województwie rawskim|20622
-|"Dopełniając prawo - ofierze dziesiątego grosza ..." [projekt uniwersału dot. zakresu działania komisji lustracyjnych]|21443
-|"Król Duch" czy "Królowie Duchy" :|41111
-|"Pierwsze naśladownictwo "Nowej Heloizy" w romansie pols kim   :|51488
-|1 Czerwca. [Zagajenie sesji 274 przez marszałka sejmowego Stanisława Małachowskiego]|20786
-|10 czerwca. [Zagajenie sesji 278 przez marszałka sejmowego Stanisława Małachowskiego]|20821
-|10. : 10 Maia. [Zagajenie sesji 261 przez marszałka sejmowego Stanisława Małachowskiego]|20700
-|10.I.1791 : D. 10 Januarii 1791. Zapytania Deputacji Spraw Zagranicznych [skierowane do sejmujących stanów a dotyczące poselstwa polskiego w Porcie Ottomańskiej]|21935
-|10.II.1791 : Głos J.W. [J.] Jezierskiego klna|22991
-|10.II.1791 : Mowa J.W. J. Pana Woyciecha Suchodolskiego|22989
-|10.II.1791 : [Formularze imienne głosowania posłów i senatorów w dniu 10 Lutego 1791].|22996
-|10.II.1791 : [Zagajenie sesji 32 przez marszałka sejmowego Stanisława Małachowskiego] .|22993
-|10.III.1789 : Note [Kopia noty "odpowiedniej" do Dworu Petersburskiego - z podpisami marszałków sejmowych]|19544
-|10.III.1789 : Sessya 73. Dnia 10 marca [Diarusz sejmowy. Aprobata noty wysłanej do Petersburga. Raporty Komisji Skarbowych i Wojskowej. Projekt listu protestacyjnego przeciwko wkroczeniu wojsk rosyjskich - z Deputacji Interesów Cudzoziemskich. Wnioski o|19545
-|10.III.1789 : [Kopia noty Stackelberga wyjaśniająca przekroczenie polskich granic i wkroczenie regimentu chersońskiego do Smiły]|19540
-|10.III.1789 : [Zagajenie sesji 73 przez marszałka sejmowego Stanisława Małachowskiego]|19543
-|10.IV.1790 : Nota [Ferdynanda arcybiskupa kartagińskiego do Deputacji Interesów Zagranicznych w sprawie utrzymania wyznaczonej licytacji dóbr Biskupstwa Krakowskiego]|22759
-|10.V.1790 : Głos J.W. Adama Rzyszczewskiego kasztelana lubaczewskiego na sessyi seymowej Dnia 10 Maia Roku 1790 miany [w sprawie dyskutowania o prawach kardynalnych]|20701
-|10.V.1790 : Głos J.W. Ignacego Potockiego marszałka nadwornego W. Xtwa Litewskiego Na sessyi seymowey Dnia 10 Maia Roku 1790 miany [w dyskusji nad projektem o sejmikach]|20703
-|10.V.1790 : Głos J.W. Imci Pana Antoniego Nałęcz-Małachowskiego wojewody generała ziem Xięstwa Mazowieckiego. Na sessyi seymowey Dnia 10 mca Maia Roku 1790 miany [w dyskusji nad projektem o sejmikach]|20704
-|10.V.1790 : Mowa J.W. Jegomości Pana Woyciecha Suchodolskiego|20706
-|10.V.1790 : Sessya 261. Dnia 10 Maia. [Diariusz sejmowy. Dyskusja nad projektem o sejmikach. Propozycja uzupełnienia prawa o donatywach. Głos zabierali: marszałek sejmowy St. Małachowski oraz senatorowie i posłowie: Suchorzewski|20699
-|10.V.1791 : Głos J.W. J.P. B. Zawiszy|22919
-|10.V.1791 : Głos J.W. Pana Jana Łuszczewskiego|22918
-|10.V.1791 : Głos JKMci na Sessyi sejmowey dnia 10 Maja 1791 miany [oraz] Tegoż dnia po głosie Xcia Jmci Marszałka Konfederacyi Litt. i Tegoż dnia po głosie kasztelana łukowskiego.|22917
-|10.V.1791 : Sessya [72]. Dnia 10 Maia 1791 [Diariusz sejmowy. Dyskusja nad opisem sejmu. Uwagi do uchwalonej "Ustawy Rządowej". Przyjęcie projektu dot. wysyłania wojskowych na rewie. Dyskusja "nad popisami wojewódzkimi z udziałem milicjantów miejski|22915
